11.3373 .9523 -.0350
.9524 12.4599 -.1283
-.0351 -.1282 10.8450
6.1596 .6845 .0031
.6845 7.0889 .0921
.0031 .0920 5.7781
8.3491 .8653 .0062
.8653 9.7234 .0080
.0063 .0079 7.9524
8.8860 .9620 .1197
.9620 10.0712 .2682
.1196 .2681 8.4289
6.5899 .7862 -.0670
.7863 7.7013 -.0558
-.0671 -.0557 6.1670
10.3999 .7932 .2344
.7932 11.4923 .3914
.2344 .3914 10.0577
9.3429 .8938 -.0208
.8937 10.3301 .0474
-.0209 .0473 8.6750
11.2809 .7891 -.0379
.7891 12.7083 .0037
-.0379 .0038 10.8150
12.5714 .7725 .1784
.7726 13.3927 .3077
.1783 .3077 12.1055
9.0109 .7482 .0509
.7483 10.3517 -.1000
.0509 -.1000 8.7330
10.1346 .7378 .0772
.7378 11.0629 .1623
.0772 .1622 9.5836
8.0602 .8353 .2987
.8353 9.2085 .5365
.2988 .5366 7.7653
8.8844 .7049 -.0248
.7049 10.5558 .0218
-.0248 .0217 8.7167
8.9076 .6168 .1104
.6168 10.1108 .3105
.1104 .3105 8.6288
10.3396 .7599 .0247
.7599 11.6193 .0286
.0247 .0285 9.9780
10.4914 .9307 -.1570
.9308 12.0200 -.3276
-.1571 -.3276 10.1383
10.9271 .9307 .0527
.9306 12.1278 -.0023
.0527 -.0024 10.4440
6.9830 .6788 .1462
.6788 8.1880 .3590
.1463 .3590 6.8193
8.3239 .8606 -.1405
.8607 9.3328 -.2765
-.1405 -.2765 7.9056
10.5782 .9643 .2085
.9643 11.7278 .3190
.2084 .3190 9.9478
10.9890 .7817 .3098
.7816 11.9869 .5328
.3099 .5330 10.7681
9.5187 .8078 .0187
.8078 10.7063 .1688
.0186 .1687 9.0911
8.1384 .7686 -.0054
.7686 9.4432 .1502
-.0054 .1501 7.7397
10.5431 .8231 -.0801
.8231 11.9847 .0842
-.0801 .0842 10.2543
8.8455 .8285 -.0572
.8285 10.0146 -.1477
-.0572 -.1476 8.4007
9.3734 .8316 -.1305
